Cell line,Tissue,IC50
SW13,kidney,16.682395471191967
SW1088,nervous_system,33.78719890056994
SW1116,large_intestine,318.60815706858335
SW1417,large_intestine,200.78646898214905
SW1463,large_intestine,10.484007491227878
SW1710,urogenital_system,20.780249659254668
SW1783,nervous_system,148.5976027619849
SW48,large_intestine,6.508708178193965
SW626,urogenital_system,141.30221988417242
SW684,soft_tissue,367.7410419097687
SW837,large_intestine,134.80981400237053
SW872,soft_tissue,225.84637240371003
SW948,large_intestine,57.01817062905881
SW962,urogenital_system,102.88552886941791
SW982,soft_tissue,4.241139571518106
T84,large_intestine,137.25547907588248
TALL1,leukemia,0.12831090690793526
TGBC1TKB,digestive_system,211.04766321911006
TGBC11TKB,digestive_system,275.2795150976732
THP1,leukemia,8.555385776368515
TUR,lymphoma,8.371465845065766
TYKNU,urogenital_system,26.80469342547617
U2OS,bone,39.93116113835231
U698M,leukemia,10.666958786596044
UACC893,breast,39.46743888763317
UMC11,lung_NSCLC,18.136400570533635
VMRCRCZ,kidney,573.0809610415406
WM115,skin,74.34035944449961
WSUNHL,lymphoma,1.055840360407905
YAPC,pancreas,108.8700533579525
YH13,nervous_system,18.2954427723278
ZR7530,breast,209.16491336835247
RCC10RGB,kidney,28.81462296140089
KURAMOCHI,urogenital_system,303.51923932316475
KMH2,lymphoma,4.567362934715788
KMH2,thyroid,4.567362934715788
HUO3N1,bone,230.84373274927555
OE19,aero_dig_tract,52.008127268819784
SUPB8,leukemia,0.10940419983658488
NCIH838,lung_NSCLC,2.1275689715503505
RAMOS2G64C10,lymphoma,69.50675902497672
RPMI8866,leukemia,1.3849818017191267
QIMRWIL,leukemia,6.587461042513166
PSN1,pancreas,30.898727443580285
OAW42,urogenital_system,127.91551411284982
OE33,aero_dig_tract,43.007563690324524
CW2,large_intestine,35.54515997484648
CHP126,neuroblastoma,9.632001073327867
CGTHW1,thyroid,36.01119995742775
COLO320HSR,large_intestine,7.8171497029385
ATN1,leukemia,6.476239384483841
CESS,leukemia,6.621129667313025
COLO678,large_intestine,219.24153026153425
COLO684,urogenital_system,78.38236767833129
COLO668,lung_SCLC,52.319335166191365
LN405,nervous_system,237.91250975110518
TGBC24TKB,digestive_system,52.73687889036407
A388,skin,20.270689993140028
BFTC909,kidney,7.528636878551842
C2BBE1,large_intestine,359.30262501246244
SCC25,aero_dig_tract,98.60283364611007
ASPC1,pancreas,1434.6784120818158
CA46,lymphoma,15.560847751339246
AU565,breast,24.7319269987543
BALL1,leukemia,1.1696002222083755
BL41,lymphoma,8.75772352849881
BV173,leukemia,2.9901483453461095
IALM,lung_NSCLC,161.14039441495683
TGW,neuroblastoma,18.10939745599967
AN3CA,urogenital_system,25.48013171400347
A204,soft_tissue,21.799564662814866
NY,bone,126.47479002916172
C3A,digestive_system,14.879002635881141
A427,lung_NSCLC,7.704849994571347
CAL851,breast,41.21869847999161
CHL1,skin,54.472173865060256
RL,lymphoma,2.1831264483315396
NCIH146,lung_SCLC,25.13114717159337
NCIH1651,lung_NSCLC,139.5405165067183
RPMI7951,skin,13.570699227913332
SCC4,aero_dig_tract,154.50678326471393
SNUC1,large_intestine,58.99643391733762
ST486,lymphoma,8.743626194345982
SW1990,pancreas,232.6455382134634
UACC812,breast,48.46316379555157
SCC15,aero_dig_tract,286.58638241158417
CAPAN2,pancreas,196.64734546359375
CAL27,aero_dig_tract,55.315767805912316
BC3,lymphoma,10.42792183126193
BC1,lymphoma,0.262387988104705
A704,kidney,20.160918445944706
A101D,skin,26.651328519306766
769P,kidney,4.525617355497441
2313287,digestive_system,38.42917743091881
A431,skin,14.578837632792533
BFTC905,urogenital_system,5.012596277853273
CAL51,breast,17.25777902849649
SCC3,lymphoma,7.336691560970756
RERFLCMS,lung_NSCLC,45.70227144240999
GAK,skin,15.792655654952165
AM38,nervous_system,25.821616759110245
A4FUK,lymphoma,3.58846667056873
A3KAW,lymphoma,0.780220271349198
DOK,aero_dig_tract,21.878075135796944
CORL279,lung_SCLC,40.8950897160836
CHP134,neuroblastoma,6.919046699832732
NEC8,urogenital_system,55.52658971569506
CAS1,nervous_system,52.18624737876772
ALLPO,leukemia,7.834640571289049
OCIAML2,leukemia,1.2647380175750753
MFM223,breast,30.335177114622134
CMLT1,leukemia,1.003925685395849
CAL54,kidney,2.625617220438224
EFO21,urogenital_system,1860.30363870582
LS1034,large_intestine,27.516009529789418
22RV1,urogenital_system,9.51905900590167
8505C,thyroid,223.5528832144811
BCPAP,thyroid,30.274688488832187
BPH1,urogenital_system,33.39626274968235
CAL148,breast,38.63779722172564
CAL39,urogenital_system,8.327114519906068
CAR1,large_intestine,27.15464178753839
HDLM2,lymphoma,13.831325728829105
HO1N1,aero_dig_tract,12.04964260306341
HTCC3,thyroid,22.069046149283995
KGN,urogenital_system,8.56893110819919
KLE,urogenital_system,346.56070566181484
KNS81FD,nervous_system,156.31465577716352
KPNRTBM1,neuroblastoma,96.71214604493137
K5,thyroid,8.871536449683926
L363,myeloma,11.93919875778956
MDAMB415,breast,42.76388765265138
NCIH250,lung_SCLC,202.34516969567173
NCIH1975,lung_NSCLC,26.85986056754775
SW954,urogenital_system,13.00292068104234
TE441T,soft_tissue,68.43880579921675
MKN7,digestive_system,275.83062505412164
MDAMB157,breast,59.979089911119175
MMACSF,skin,109.83684088669543
MKN45,digestive_system,53.573631639132216
NCIH810,lung_NSCLC,296.02413850426
MFHINO,soft_tissue,43.13112956103606
NOS1,bone,11.715069447197264
PANC0327,pancreas,114.27033490773498
PANC0813,pancreas,259.2614468895315
PANC1005,pancreas,105.65509836285496
RL952,urogenital_system,32.21538070009307
RO82W1,thyroid,159.3805916245029
SIHA,urogenital_system,108.08986884063499
SKGIIIA,urogenital_system,277.98384486342485
TT,aero_dig_tract,42.437313049690346
TT,thyroid,42.437313049690346
VMRCMELG,skin,97.31595956035673
TE9,aero_dig_tract,166.6957009029867
TE11,aero_dig_tract,20.750285383420806
TE6,aero_dig_tract,116.6871007775127
TE12,aero_dig_tract,19.37415574813079
TCYIK,urogenital_system,20.255897789256355
YT,lymphoma,1.401199982707518
BT474,breast,276.44530791369823
OAW28,urogenital_system,173.9768074824784
LCLC97TM1,lung_NSCLC,51.833880543252334
KPNYS,neuroblastoma,6.84915303428788
D245MG,nervous_system,32.31411074496497
D247MG,nervous_system,24.79175157336947
D263MG,nervous_system,21.17781136821909
D336MG,nervous_system,53.73529241091499
D392MG,nervous_system,67.87813737350987
D423MG,nervous_system,32.23068664079876
D502MG,nervous_system,18.387406482744876
D566MG,nervous_system,20.514829194992583
CAMA1,breast,30.460994612392913
CTB1,lymphoma,0.5281647592063728
CAOV4,urogenital_system,82.94883732815461
BT483,breast,5254.13150797602
M059J,nervous_system,207.69029422257628
HAL01,leukemia,0.8421492701406957
OMC1,urogenital_system,111.33837636785658
ES8,bone,5.648533760141284
ES4,bone,119.54896064825489
ES6,bone,13.390961976129656
ES1,bone,1.8419522231310188
EW7,bone,8.251334955135361
EW3,bone,12.627045729312034
EW12,bone,6.435541585644862
EW1,bone,7.784736830297077
EW18,bone,30.698475641836254
EW16,bone,21.16860102366909
EW13,bone,42.53758338093969
EW22,bone,39.610926424017904
EW24,bone,31.378501725342236
LAN6,neuroblastoma,44.01436245117748
NB10,neuroblastoma,13.390346006046173
NB12,neuroblastoma,77.26468540184807
NB6,neuroblastoma,19.02524915783058
NB7,neuroblastoma,45.16809613968744
NB17,neuroblastoma,12.417043441761262
NB5,neuroblastoma,179.09170623819972
NB13,neuroblastoma,44.70270435941118
NB14,neuroblastoma,4.1281484943467985
NB1,neuroblastoma,94.79029209915744
RH1,soft_tissue,22.15114083209932
MZ2MEL,skin,3.6625696821309544
JURKAT,leukemia,4.516873269788288
LS180,large_intestine,6.617575075175087
BICR22,aero_dig_tract,195.06132572123803
BICR78,aero_dig_tract,109.40974906968925
CCK81,large_intestine,21.1557978933872
COLO783,skin,50.02640669927617
EN,urogenital_system,98.27375473510334
ES2,urogenital_system,12.14817557408358
FUOV1,urogenital_system,538.2827609133786
